ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH117 09-Jan-2019 P107180113 3fd5dbc5 05-Nov-2018 2019 SPRING C C
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff11043 07-Nov-2018 2019 SPRING F F
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe58caf 31-Oct-2018 2019 FALL A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff00f31 08-Jan-2019 2020 SPRING A+ A+
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe4150f 08-Nov-2018 2020 SPRING A B
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff01049 07-Nov-2018 2020 SPRING B- A
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe66be3 03-Dec-2018 2020 SPRING C A-
2019 SPRING MATH117 09-Jan-2019 P107180113 3feb6ad5 31-Oct-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe02a2b 06-Nov-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe1844d 13-Dec-2018 2020 SPRING C B
2019 SPRING MATH117 09-Jan-2019 P107180113 3ba8edd5 23-Oct-2018 2020 SPRING B C
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff17d03 08-Nov-2018 2020 SPRING C C
2019 SPRING MATH117 09-Jan-2019 P107180113 3feb6ca1 30-Oct-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe21697 06-Nov-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff2324d 01-Nov-2018 2020 SPRING B B
2019 SPRING MATH117 09-Jan-2019 P107180113 3fef3557 26-Oct-2018 2019 SUMMER C D
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe8bc63 01-Nov-2018 2019 SPRING C D
2019 SPRING MATH117 09-Jan-2019 P107180113 3feb06a3 01-Nov-2018 2020 SPRING B+ B
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe29699 01-Nov-2018 2020 SPRING D C
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff02025 06-Nov-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3fdebe11 25-Oct-2018 2020 SPRING D C
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff002e3 30-Oct-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3fd8251f 31-Oct-2018 2020 SPRING B C
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff230ef 01-Nov-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107180113 3ff22de3 30-Oct-2018 2020 SPRING B B
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe66e27 30-Oct-2018 2020 SPRING A+ A+
2019 SPRING MATH117 09-Jan-2019 P107180113 3fed6d03 01-Nov-2018 2020 SPRING B- B
2019 SPRING MATH117 09-Jan-2019 P107180113 3fee4a2f 01-Nov-2018 2019 SPRING B A-
2019 SPRING MATH117 09-Jan-2019 P107180113 3fe8552f 06-Nov-2018 2020 SPRING A A+
