Semester Taken,ID,Mathrecommendation,Adjusted Score,Raw Score
SP2019,   3ff4b3ab,   MATH120,,30
SP2019,   3ff4b3e7,   MATH120,,36
SP2032,   3ff4b469,   MATH120,,26
SP2019,   3ff4b545,   MATH115,,16
SP2019,   3ff4b545,   MATH115,,16
SP2019,   3ff4b545,   MATH115,,16
SP2019,   3ff4b559,   MATH112,,18
SP2019,   3ff4b617,   MATH112,,24
SP2019,   3ff4b6c1,   MATH115,,22
SP2019,   3ff4b883,   MATH120,,31
SP2019,   3ff4b883,   MATH120,,28
SP2019,   3ff4b88d,   MATH120,,29
SP2019,   3ff4b94b,   MATH120,,30
SP2019,   3ff4b9c3,   MATH112,,22
SP2019,   3ff4ba31,   MATH120,,26
SP2019,   3ff4bb3f,   MATH115,,17
SP2019,   3ff4bbc1,   MATH115,,17
SP2019,   3ff4bbcb,   MATH112,,9
SP2019,   3ff4bbe9,   MATH120,,25
SP2019,   3ff4bca7,   MATH112,,20
SP2019,   3ff4bd51,   MATH112,,18
SP2019,   3ff4bf27,   MATH115,,24
SP2019,   3ff4c00d,   MATH112,,13
SP2019,   3ff4c0b7,   MATH112,,22
